2020-10-15 15:38:15.919 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.boot.demo.DemoApplicationTests], using SpringBootContextLoader
2020-10-15 15:38:15.927 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.boot.demo.DemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-10-15 15:38:15.928 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.boot.demo.DemoApplicationTests]: DemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-10-15 15:38:16.112 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.boot.demo.BootApplication for test class com.boot.demo.DemoApplicationTests
2020-10-15 15:38:16.270 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-10-15 15:38:16.299 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@415b0b49, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6d5620ce, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@311bf055, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@642a7222, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7d322cad, org.springframework.test.context.event.EventPublishingTestExecutionListener@21be3395, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4f49f6af, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@78452606, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@147e2ae7, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@448c8166, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4470fbd6, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@15d49048]
2020-10-15 15:38:16.729 [main] INFO  com.boot.demo.DemoApplicationTests - Starting DemoApplicationTests on DESKTOP-RBSV428 with PID 17320 (started by minstone in D:\CODE_MY\SpringCloud\boot)
2020-10-15 15:38:16.730 [main] DEBUG com.boot.demo.DemoApplicationTests - Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2020-10-15 15:38:16.731 [main] INFO  com.boot.demo.DemoApplicationTests - No active profile set, falling back to default profiles: default
2020-10-15 15:38:18.884 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-10-15 15:38:19.385 [main] INFO  com.boot.demo.DemoApplicationTests - Started DemoApplicationTests in 3.022 seconds (JVM running for 4.768)
2020-10-15 15:38:19.864 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
