2020-10-16 15:05:13.687 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.boot.demo.DemoApplicationTests], using SpringBootContextLoader
2020-10-16 15:05:13.708 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.boot.demo.DemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-10-16 15:05:13.710 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.boot.demo.DemoApplicationTests]: DemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-10-16 15:05:13.942 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.boot.demo.BootApplication for test class com.boot.demo.DemoApplicationTests
2020-10-16 15:05:14.153 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-10-16 15:05:14.183 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@54e041a4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2c78324b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@79defdc, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@18317edc, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4e0ae11f, org.springframework.test.context.transaction.TransactionalTestExecutionListener@238d68ff, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4b86805d, org.springframework.test.context.event.EventPublishingTestExecutionListener@5852c06f, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4149c063, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@9cb8225, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@76b07f29, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@38af9828, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@376a0d86]
2020-10-16 15:05:14.784 [main] INFO  com.boot.demo.DemoApplicationTests - Starting DemoApplicationTests on DESKTOP-RBSV428 with PID 772 (started by minstone in D:\CODE_MY\SpringCloud\boot)
2020-10-16 15:05:14.787 [main] DEBUG com.boot.demo.DemoApplicationTests - Running with Spring Boot v2.2.5.RELEASE, Spring v5.2.4.RELEASE
2020-10-16 15:05:14.788 [main] INFO  com.boot.demo.DemoApplicationTests - No active profile set, falling back to default profiles: default
2020-10-16 15:05:16.493 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-10-16 15:05:16.828 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
